"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.088235138,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.069136226,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.45210412,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.094407559,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.87241647,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.314573725,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.874858409,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.900020169,"P"
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.215384422,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.3464606,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.788937818,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.997278519,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.110561548,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-16.007677409,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q3",12.76120409,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.865598009,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.028890392,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.852022851,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.389073528,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.660072286,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.788389611,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",12.405556548,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.29966508,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.927553212,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.207023314,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.65725697,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.524229591,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.876491339,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.154509092,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.199872082,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.281938697,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.196867523,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.156076473,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.22028172,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.545879168,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.599817806,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.707789052,
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.506884582,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.357657943,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.330901959,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.45347504,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.494445659,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.542121912,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.752326244,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.125988109,"P"
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.72512256,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.370716167,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.636914747,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.58623185,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.262654605,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.986116769,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.478741091,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.988378418,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.619755665,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.351751942,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.378811853,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.586932948,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.077927914,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.300909507,"E"
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.641680353,"E"
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.171715849,"E"
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.261182403,
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.095319207,
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.198749289,
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.637792726,
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.23751342,
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-16.950964949,
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q3",12.118183042,
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.100000391,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.158868493,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.311794723,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.506898702,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.609525864,
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.416970477,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.817223003,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.640350417,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.200169157,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.32266361,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.179684859,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.00240225,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.141136673,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.733075761,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.489337971,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.720276596,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.683891932,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",2.069027578,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.402388106,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",2.007254486,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.17856591,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.783870904,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",15.564347437,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.41451,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.90548,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.83647,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.86096,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.65894,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-25.2481,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q3",21.94015,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.526596551,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.642457206,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.521850217,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.114614812,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.267312198,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.076491025,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.130099448,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.1,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.636016299,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.53457821,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.466019801,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.383759893,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.291986784,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.50949507,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.9385772,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.300020246,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.699926885,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.738602466,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.151562197,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.248456273,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.26103648,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.000662267,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.878236969,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.69999211,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.612222858,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.503593062,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.309311452,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.018690252,
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.995362523,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.707251417,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.511985604,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.097322783,"P"
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.205681107,
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.262245453,
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.180883054,
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.205930108,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.718065392,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.949907898,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.036715479,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.870018028,
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.008380829,
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.862300806,
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.839345562,
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.238067673,
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.45679319,
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.410043211,
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.843745489,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.803968545,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.816710677,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.209579097,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.362879287,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.422548271,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-16.641962996,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.530993656,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.468618348,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",2.37118293,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.878903266,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.705263376,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.879546459,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.237636448,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",1.502101943,
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.666772653,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.542915963,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.396466374,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.662808505,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.956044532,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.915296648,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.252193083,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.4,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.19155428,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.198214125,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.042003621,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.361449601,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.529588976,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.043511385,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",15.966377292,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-1.975646223,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.800275051,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.317891968,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.309108452,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.536193235,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.766996758,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.567636938,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.964896166,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-4.270125792,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.484611871,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",4.94494433,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.884237889,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",4.265485715,
"IRL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.527067979,
"IRL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.200561874,
"IRL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.053229439,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.169915172,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.370392471,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.541743876,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.389792285,
"CHE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.731200029,
"CHE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.028700796,
"CHE","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.166023226,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.413103594,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.393214203,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.710558219,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.14616979,
"NZL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.192991449,
"NZL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.037063284,
"NZL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.99877363,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-9.7,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",11.6,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.6,
"CHL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.071490463,
"CHL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.072555088,
"CHL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.808769274,
"CHL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-4.275588305,
"CHL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",2.968463318,
"CHL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.468095999,
"CHL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.222944289,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.405899694,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.073877939,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.145021614,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.445973689,
"SWE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.332241724,
"SWE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.950005454,
"SWE","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.930314681,
"SWE","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.5,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.507596607,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.285040875,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.147104873,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.186918136,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.905832336,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.651488184,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",18.509715196,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-1.348365623,
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.918650638,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.512949379,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.682023896,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.473879523,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.129790373,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.14776204,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.290037872,"E"
"COL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.897739933,
"COL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.930258372,
"COL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.839128248,
"COL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.658645277,
"COL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.380323028,
"COL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-16.104953772,
"COL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.707209073,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.611793989,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.750013608,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.658747853,
"LTU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.780901519,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.026924279,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.91185151,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.784547318,
"LTU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.199344537,
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.863727249,
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.084336393,
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.201725358,
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.304377329,
"SAU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.318603323,
"SAU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.215277505,
"SAU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",1.792105118,
"SAU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.800007332,
